category,content
家居,"别墅拥有者的珍藏级经典之作的欲望清单(组图)
　　
    水晶吊灯秋千椅
　　水晶吊灯秋千椅(品牌：IPE CAVALLI)
　　璀璨无比的多层水晶吊灯，伸展出秋千式的华丽座椅，奇异的灯具仿佛出自欧洲皇室小公主的梦境，既富有高贵色彩又充满浪漫情怀。"
家居,"大岭山家具企业销量前10月同比增长一倍
　　记者获悉，2010年前10月，大岭山镇家具企业内销总额为3.89亿元，同比增长104.26%。　　为了推动家具企业开拓内销市场，大岭山下了不少工夫。今年以来，该镇加大内销扶持政策宣传力度，鼓励企业利用传播媒介(如电子商务)发布企业产品广告，极力协调海关部门为企业建立内销“快速通道”。"
家居,"简洁造型色调统(图)
　　简洁造型色调统——适用大多数
　　茶几的造型、色彩不仅要与周边家具相协调，还要与整体的居室环境一致。与其他家具色调统一、款式相近的茶几给居室风格以和谐、惬意的感觉。造型方面，有着简练直线条的茶几仍是现代风格家居的首选，但是圆形、椭圆形、不规则的线条同样有它的优势。这些曲线在不经意间更贴合人体曲线，且不易伤及好动的儿童。在色彩方面，明快色彩是主角，另外，透明色也以其自然、简单、纯洁的特质大出风头。当然，单一的白色、黑色、米色、原木色仍占据着主流的审美。
　　亲密接触角落空间
　　居室中存在着许多零散的角落空间，利用好它既可以为居室增色，功能上也能得到补充和丰富。以客厅和阳台的夹角区域为例，由于受建制的影响，稍大稍高一点的家具放置在这里会造成不透气的感觉，而专门设计的转角柜，通常价格不菲。不妨考虑用一款小茶几化解这一矛盾。带脚轮的小茶几，移动方便，搭配茶具、灯具、盆栽等物品，立时就能为角落空间展现出新的形象。而套几，摞放在一起，形如装置，看起来也美观。分置于居室的不同角落或者不同居室的角落中，又能形成呼应，营造出整齐协调的感觉。"
家居,"适合谈恋爱的阳台(图)
　　TIP 2 适合谈恋爱的阳台 
　　这样的阳台打造手法比上一个案例更质朴了些，旁边安置的栅栏让空间带了些私密感。看来这样的氛围确实有机会能等爱自己心爱的人了！"
家居,"春节宜居指南：细看木纹 分辨实木家具(3)
　　实木贴面家具：
　　市场量不大易忽视。在《木家具通用技术条件》实施之前，没有多少人将实木贴面家具称为实木家具，它是在家具表面可视的范围，包括面、框架结构都是纯实木(比如用不知名的杂木)，只不过在实木之上又贴了实木木皮(比如柚木、水曲柳等昂贵点的实木木皮)。
　　优点：价格便宜
　　仅从外观上看，实木贴面家具与前两种实木家具没有差别，但实际上，相比前两种实木家具，实木贴面家具基材材质的成本最低，所以价格相对应该最为便宜。实木贴面家具的线条最为优美，设计也更为简约时尚，在实木家具中，是性价比最高的产品。
　　缺点：最重工艺
　　实木贴面家具最讲究工艺，如果工艺不精，贴面很容易起泡甚至脱落。消费者在购买家具时，一定要详细问清楚，然后看贴木皮处的工艺是否平整。"
彩票,"姜山冷门：欧冠激励沙尔克前进 无伊布不影响米兰
　　金石开：上轮德甲沙尔克04主场对阵沃尔夫斯堡，赛前舆论对刚刚打完欧冠的蓝军很不信任，但你却认为沙尔克未必会放弃联赛，还是建议走3/0路线。结果正蓝旗仍是主场击败志在复仇的马加特。再加上周中双杀国米，朗尼克上任后2场联赛和2场欧冠保持全胜。不过本期新浪调查显示的结果和上周很相似，大家更看好主场作战的不来梅，沙尔克客场取胜的支持率仅为20%，你这次对这场比赛又是持什么看法？朗尼克还有机会将全胜纪录持续下去吗？
　　姜山：不来梅虽然最近6轮不败，但只有2胜4平的战绩，而且该队主场连续5轮4平1负不胜，场场都有丢球，防线仍然是他们的痼疾。目前除了防线继续缺少普罗德尔等人外，中场巴尔格弗雷德也染上流感，要缺席周末的比赛。沙尔克自2005年的德国杯和联赛杯半决赛接连淘汰不来梅后，完全改变了往绩上对对手的弱势，最近14次正式比赛对不来梅8胜4平2负，做客也是2胜2平1负，上赛季客场就曾2比0完胜对手。很多人可能只看到欧冠对沙尔克的影响，没有注意到对正蓝旗的刺激作用，两线飘红的情况下，我不认为朗尼克会愿意迎来他在新东家的第一场失利，这场比赛沙尔克依然有很大希望保持不败。
　　金石开：纽伦堡上轮顽强逼平拜仁，终结两连败。但本轮做客凯泽，虽然他们的排名比对手高得多，但目前新浪调查对上轮客场击败斯图加特的凯泽却更为看好，平负两个结果的支持率都只有25%左右。你认为纽伦堡还有客胜的机会吗？另外马加特上任后狼堡还未取胜，主场对圣保利有无可能爆冷？
　　姜山：凯泽近几轮在状态上肯定要强于纽伦堡，不过他们目前保级压力大减，心态上也许会出现松懈。纽伦堡的后卫皮诺拉和钱德勒双双解禁，前锋席贝尔也复出，阵容逐渐恢复整齐。两队在心态上都比较轻松，纽伦堡目前也不太计较胜负得失，如果能拿到3分再拼一下欧战资格当然最好。再加上双方10年来在两级联赛11次交手全部分出胜负的特点，此战仍然是走3/0路线更为妥当。至于沃尔夫斯堡，面对可能是德甲最弱、而且近期遭遇7连败的圣保利，此战再不取胜实在是无法交代了。圣保利的功勋主帅斯坦尼斯拉夫斯基本周宣布赛季结束后离任，可能会转投霍芬海姆，这对圣保利的保级士气也是沉重打击，沃尔夫斯堡主胜应无悬念。
　　金石开：AC米兰的伊布停赛，内斯塔也将因伤缺阵，主场对阵桑普是否还是可以做稳胆使用呢？
　　姜山：伊布本赛季在联赛缺席了4场，AC米兰客场3比2胜巴里、1比0胜卡利亚里、0比1负巴勒莫，主场3比0胜国米，并无太大影响。输给巴勒莫一战，我认为更主要的因素是由于AC米兰本来就不擅做客西西里岛。桑普近6轮1平5负，惟一的平局还被认为是与切沃的默契球。该队冬季转会走了卡萨诺和帕齐尼后实力大减，下半程与意甲前5名的其他4队交手4战且1球不进，而AC米兰目前与联赛后10名球队交手17次，总计11胜5平1负，主场6胜2平。所以即便没有伊布，也不影响AC米兰主场拿下桑普。"
彩票,"央视段暄德甲推荐：不来梅汉堡稳胆 拜仁防范大冷
　　声明：体坛网特供合作伙伴新浪体育刊登，其余媒体未经允许不得转载。
　　段暄：应体坛网邀请，本周起我给大家推荐足彩，重点当然是我解说的德甲联赛了。陆慧明希望我连英超也一起推荐，以保持单子的完整性，我尽力而为吧。
　　08 不来梅VS沃尔夫  推荐:3  不来梅冠军杯踢得非常好，以他们的攻击力，回主场应该没问题，估计是一场大比分。
　　09 汉　堡VS法兰克  推荐:3  双方实力的差距很大，汉堡当可轻松过关。
　　10 斯图加VS拜　仁  推荐:30  真得好好说说拜仁了，他们冠军杯可一点也没放水，客场同里昂进行了一场对攻战，体力消耗巨大。这场球堪称强强对话，拜仁防守始终问题比较多，丢球不少，客场我建议小心，足彩买的就是冷门啊。
　　11 勒　沃VS科特布  推荐:3  科特布斯防守真的太差了，不看好。
　　12 汉诺威VS比勒菲  推荐:3  感觉汉诺威主场优势很大，单选就可以了。
　　13 波　鸿VS科　隆  推荐:30  我不看好他们打平，双方实力差不多，应该一球定胜负。
　　14 赫　塔VS卡尔斯  推荐:31  主队没有绝对实力，但主场也不应该输掉，防个平局。
　　段暄，1995年毕业于北京广播学院后加盟中央电视台，参与了三次奥运会、多次欧洲足球锦标赛、亚洲杯足球赛的转播评论工作；参与了《世界体育报道》栏目的创立，担任其中《足球总汇》的主持人。现在主要担任《天下足球》和德甲联赛等节目的主持人。"
彩票,"切尔西主场负媒体全军覆没--胜负彩10111期比对
　　北京时间11月15日，中国足球彩票中国足球彩票14场胜负游戏第10111期比赛结束，本期彩果随之产生：
新浪体育收集了国内若干媒体的投注推介。在这里我们将这些推介和正确结果进行比对，意在为广大网友今后的投注提供一简单参考，并无意对各家媒体进行排名，特此声明。  (红体字为错误结果)
 
说明：媒体推荐的“历史命中率统计”表示媒体历史平均命中场次，即：历史命中总场数/(胜负彩期数*14)，该数据从胜负彩第08070期开始统计；如上期该媒体无推荐，则“上期命中”用“-”代替。"
彩票,"任选9场开奖头奖1237注8千2 1网友中19注揽15万
　　新浪体育讯　胜负彩10124期任选9场开奖揭晓：一等奖1237注，每注奖金8,279元。任选九场总销量：16,003,064元。投注平台方面，网友[战神时代]一人独得19注任选九场头奖，揽得奖金15万！[查看过关统计]
　　温馨提醒：兑奖有效期60天，本期兑奖截止日期为：2011-2-15，逾期将按弃奖处理。"
彩票,"法甲新赛季赛程：8月7日开战 马赛9月遇魔鬼赛程
　　近日法国足协就公布了2010-2011赛季法甲联赛新赛季的赛程，新赛季的首轮联赛将于8月7日开始，是欧洲五大联赛中率先开战的联赛。根据以往赛季来看，德甲联赛也有望在8月7日开始，这样德甲+法甲的足彩也会在8月7日正式开始，五大联赛届时将会全面回顾足彩竞猜，必将再次掀起胜负彩和单场足彩的投注高潮！
　　在新赛季首轮的比赛中，上赛季联赛冠军马赛将在主场迎战升班马卡昂，开始球队新赛季卫冕征程；联赛亚军里昂也在主场迎战上赛季名列中游的摩纳哥；上赛季前半段表现一直不错最终却一无所获的波尔多首轮就将在客场对阵上赛季的黑马蒙彼利埃。以下是首轮其他比赛的对阵(主场球队列前)：朗斯VS南锡、欧塞尔VS洛里昂、巴黎圣日尔曼VS圣埃蒂安、雷恩VS里尔、图卢兹VS布雷斯特、索肖VS阿维尼翁、尼斯VS瓦朗谢讷。
　　根据新赛季赛程安排，联赛第4轮(9月28日)卫冕冠军马赛将赴客场挑战波尔多，一轮之后的第6轮(9月18日)波尔多再次坐镇主场迎战里昂，第10轮(10月23日)马赛这次客场对阵上赛季主场战绩不错的里尔，第15轮(11月27日)马赛主场迎战上赛季黑马蒙彼利埃，这轮中波尔多也在主场迎战劲敌里尔，第18轮(12月18日)马赛在主场迎战里昂；新年首轮元月15日第20轮，马赛就在主场与波尔多进行新赛季的第2次较量，第22轮(2月5日)里昂回到主场迎战波尔多，第34轮(5月7日)卫冕冠军马赛将客场挑战里昂，这场比赛的结果将左右新赛季夺冠的格局。
　　下面是新赛季法甲联赛的完全赛程：
　　(永明)
　　近日法国足协就公布了2010-2011赛季法甲联赛新赛季的赛程，新赛季的首轮联赛将于8月7日开始，是欧洲五大联赛中率先开战的联赛。根据以往赛季来看，德甲联赛也有望在8月7日开始，这样德甲+法甲的足彩也会在8月7日正式开始，五大联赛届时将会全面回顾足彩竞猜，必将再次掀起胜负彩和单场足彩的投注高潮！
　　在新赛季首轮的比赛中，上赛季联赛冠军马赛将在主场迎战升班马卡昂，开始球队新赛季卫冕征程；联赛亚军里昂也在主场迎战上赛季名列中游的摩纳哥；上赛季前半段表现一直不错最终却一无所获的波尔多首轮就将在客场对阵上赛季的黑马蒙彼利埃。以下是首轮其他比赛的对阵(主场球队列前)：朗斯VS南锡、欧塞尔VS洛里昂、巴黎圣日尔曼VS圣埃蒂安、雷恩VS里尔、图卢兹VS布雷斯特、索肖VS阿维尼翁、尼斯VS瓦朗谢讷。
　　根据新赛季赛程安排，联赛第4轮(9月28日)卫冕冠军马赛将赴客场挑战波尔多，一轮之后的第6轮(9月18日)波尔多再次坐镇主场迎战里昂，第10轮(10月23日)马赛这次客场对阵上赛季主场战绩不错的里尔，第15轮(11月27日)马赛主场迎战上赛季黑马蒙彼利埃，这轮中波尔多也在主场迎战劲敌里尔，第18轮(12月18日)马赛在主场迎战里昂；新年首轮元月15日第20轮，马赛就在主场与波尔多进行新赛季的第2次较量，第22轮(2月5日)里昂回到主场迎战波尔多，第34轮(5月7日)卫冕冠军马赛将客场挑战里昂，这场比赛的结果将左右新赛季夺冠的格局。
　　下面是新赛季法甲联赛的完全赛程：
　　(永明)"
